Trader,Market Share,Profit
AA,6.25,251.60999999999999
AA,6.666666666666667,141.067
AA,7.142857142857143,605.037
AA,7.6923076923076925,719.5719999999999
AA,8.333333333333334,1798.2889999999998
AA,9.090909090909092,2126.8650000000002
AA,10.0,2456.867
AA,11.11111111111111,2506.43
AA,11.764705882352942,58.79
AA,12.5,2667.3740000000003
AA,13.333333333333334,935.117
AA,14.285714285714286,3942.1940000000004
AA,15.384615384615385,1784.741
AA,16.666666666666668,5089.133
AA,17.647058823529413,373.0350000000001
AA,18.181818181818183,2014.6000000000001
AA,18.75,424.68800000000005
AA,20.0,6257.935999999999
AA,21.05263157894737,159.47999999999996
AA,21.428571428571427,1690.1320000000003
AA,22.22222222222222,2576.254
AA,23.076923076923077,2425.002
AA,23.529411764705884,673.692
AA,25.0,7991.771000000001
AA,26.31578947368421,349.43899999999996
AA,26.666666666666668,1617.159
AA,27.272727272727273,2369.355
AA,27.77777777777778,621.0020000000001
AA,28.571428571428573,5024.366
AA,29.41176470588235,915.9739999999998
AA,30.0,3463.2949999999996
AA,30.76923076923077,2703.155
AA,31.25,2288.004
AA,33.333333333333336,11607.479999999998
AA,35.714285714285715,2171.589
AA,36.36363636363637,2775.1919999999996
AA,37.5,2474.042
AA,38.46153846153846,3241.1740000000004
AA,40.0,4967.072
AA,41.666666666666664,3253.611
AA,42.857142857142854,2858.1049999999996
AA,44.44444444444444,3411.716
AA,45.45454545454545,2309.0579999999995
AA,50.0,8831.698000000004
AA,55.55555555555556,2342.7549999999997
AA,57.142857142857146,2569.4440000000004
AA,60.0,999.2750000000001
AA,62.5,1738.633
AA,66.66666666666667,2546.6999999999994
AA,71.42857142857143,1596.675
AA,75.0,548.8000000000001
AA,80.0,721.55
AA,83.33333333333333,533.3499999999999
AA,100.0,691.204
GDX,6.25,89.39
GDX,6.666666666666667,112.06000000000002
GDX,7.142857142857143,328.47700000000003
GDX,7.6923076923076925,503.606
GDX,8.333333333333334,651.0780000000001
GDX,9.090909090909092,1252.19
GDX,10.0,1994.9330000000002
GDX,11.11111111111111,2363.296
GDX,11.764705882352942,25.119999999999997
GDX,12.5,2359.122
GDX,13.333333333333334,245.091
GDX,14.285714285714286,3609.839
GDX,15.384615384615385,581.23
GDX,16.666666666666668,4091.133999999999
GDX,17.647058823529413,77.783
GDX,18.181818181818183,1472.6979999999999
GDX,18.75,402.601
GDX,20.0,4911.729999999999
GDX,21.05263157894737,53.09000000000001
GDX,21.428571428571427,663.6870000000001
GDX,22.22222222222222,3109.3790000000004
GDX,23.076923076923077,1279.1499999999999
GDX,23.529411764705884,367.579
GDX,25.0,7513.460000000004
GDX,26.31578947368421,119.05000000000001
GDX,26.666666666666668,793.8539999999999
GDX,27.272727272727273,2253.702
GDX,27.77777777777778,258.84499999999997
GDX,28.571428571428573,3836.468999999999
GDX,29.41176470588235,309.80400000000003
GDX,30.0,2664.1030000000005
GDX,30.76923076923077,1833.35
GDX,31.25,891.0050000000001
GDX,33.333333333333336,10687.454
GDX,35.714285714285715,1985.8789999999997
GDX,36.36363636363637,2406.194
GDX,37.5,2770.6900000000005
GDX,38.46153846153846,2129.107
GDX,40.0,5125.858
GDX,41.666666666666664,2464.212
GDX,42.857142857142854,2446.897
GDX,44.44444444444444,2975.3639999999996
GDX,45.45454545454545,2984.0009999999997
GDX,50.0,8645.738000000001
GDX,55.55555555555556,1901.348
GDX,57.142857142857146,1888.1349999999998
GDX,60.0,1503.674
GDX,62.5,1546.154
GDX,66.66666666666667,2634.6400000000003
GDX,71.42857142857143,1728.375
GDX,75.0,1259.15
GDX,80.0,770.45
GDX,83.33333333333333,1166.65
GDX,100.0,1612.042
ZIC,8.333333333333334,183.64
ZIC,9.090909090909092,753.306
ZIC,10.0,1022.492
ZIC,11.11111111111111,2024.9210000000003
ZIC,11.764705882352942,137.15
ZIC,12.5,3442.956
ZIC,13.333333333333334,699.5729999999999
ZIC,14.285714285714286,4577.9310000000005
ZIC,15.384615384615385,614.053
ZIC,16.666666666666668,4642.977
ZIC,17.647058823529413,367.72299999999996
