Trader,Market Share,Profit
AA,6.25,99.28999999999999
AA,6.666666666666667,312.69500000000005
AA,7.142857142857143,644.3990000000001
AA,7.6923076923076925,1472.125
AA,8.333333333333334,1890.7569999999998
AA,9.090909090909092,2528.808
AA,10.0,3032.666
AA,11.11111111111111,3521.623000000001
AA,11.764705882352942,375.4700000000001
AA,12.5,3741.0680000000007
AA,13.333333333333334,528.85
AA,14.285714285714286,3502.245
AA,15.384615384615385,1621.421
AA,16.666666666666668,6196.735
AA,17.647058823529413,253.862
AA,18.181818181818183,2554.476
AA,18.75,666.5500000000001
AA,20.0,6036.897999999999
AA,21.05263157894737,62.11
AA,21.428571428571427,1680.3749999999998
AA,22.22222222222222,4152.334999999998
AA,23.076923076923077,2370.4700000000003
AA,23.529411764705884,845.571
AA,25.0,8634.895
AA,26.31578947368421,354.644
AA,26.666666666666668,1911.4570000000003
AA,27.272727272727273,3245.4679999999994
AA,27.77777777777778,777.669
AA,28.571428571428573,5264.401
AA,29.41176470588235,1273.54
AA,30.0,3472.9740000000006
AA,30.76923076923077,2986.5620000000004
AA,31.25,1850.178
AA,33.333333333333336,11289.943999999994
AA,35.714285714285715,2949.615
AA,36.36363636363637,3426.4950000000003
AA,37.5,2409.613
AA,38.46153846153846,3546.735999999999
AA,40.0,3565.371
AA,41.666666666666664,3557.267
AA,42.857142857142854,1824.8339999999996
AA,44.44444444444444,2642.5559999999996
AA,45.45454545454545,3111.0629999999996
AA,50.0,7467.105000000001
AA,55.55555555555556,2071.1479999999997
AA,57.142857142857146,1776.743
AA,60.0,586.45
AA,62.5,1329.7849999999996
AA,66.66666666666667,872.55
AA,71.42857142857143,968.25
AA,75.0,228.65000000000003
AA,80.0,284.95
AA,83.33333333333333,373.3
AA,100.0,280.149
GDX,6.25,6.000000000000001
GDX,6.666666666666667,110.946
GDX,7.142857142857143,257.291
GDX,7.6923076923076925,537.811
GDX,8.333333333333334,880.4580000000001
GDX,9.090909090909092,1258.5770000000002
GDX,10.0,2100.3080000000004
GDX,11.11111111111111,2047.9880000000005
GDX,11.764705882352942,20.270000000000003
GDX,12.5,2842.5659999999993
GDX,13.333333333333334,339.605
GDX,14.285714285714286,4355.325000000001
GDX,15.384615384615385,736.803
GDX,16.666666666666668,3889.6049999999996
GDX,17.647058823529413,190.06400000000002
GDX,18.181818181818183,1955.3299999999997
GDX,18.75,298.44699999999995
GDX,20.0,4614.359000000001
GDX,21.05263157894737,60.45
GDX,21.428571428571427,595.5669999999999
GDX,22.22222222222222,2666.686
GDX,23.076923076923077,1313.127
GDX,23.529411764705884,378.18
GDX,25.0,6772.507000000001
GDX,26.31578947368421,108.704
GDX,26.666666666666668,701.4620000000001
GDX,27.272727272727273,2306.6929999999998
GDX,27.77777777777778,329.175
GDX,28.571428571428573,2953.2959999999994
GDX,29.41176470588235,374.465
GDX,30.0,2385.7359999999994
GDX,30.76923076923077,1717.1940000000002
GDX,31.25,590.3389999999998
GDX,33.333333333333336,10011.772000000003
GDX,35.714285714285715,1744.6370000000004
GDX,36.36363636363637,2410.4230000000002
GDX,37.5,1706.971
GDX,38.46153846153846,2150.638
GDX,40.0,4091.481999999999
GDX,41.666666666666664,2386.8489999999997
GDX,42.857142857142854,1728.294
GDX,44.44444444444444,1993.4929999999997
GDX,45.45454545454545,3038.835
GDX,50.0,7038.788000000001
GDX,55.55555555555556,1196.376
GDX,57.142857142857146,1194.038
GDX,60.0,671.502
GDX,62.5,1281.634
GDX,66.66666666666667,1660.2980000000002
GDX,71.42857142857143,950.0500000000001
GDX,75.0,537.4
GDX,80.0,164.55
GDX,83.33333333333333,306.75
GDX,100.0,779.275
ZIC,6.25,130.19
ZIC,6.666666666666667,464.3300000000001
ZIC,7.142857142857143,1032.4199999999998
ZIC,7.6923076923076925,1456.1960000000001
ZIC,8.333333333333334,2074.619
ZIC,9.090909090909092,2915.474
ZIC,10.0,3591.254
ZIC,11.11111111111111,3576.3950000000004
ZIC,11.764705882352942,82.76
ZIC,12.5,4153.891
ZIC,13.333333333333334,665.514
ZIC,14.285714285714286,4322.372
ZIC,15.384615384615385,1823.1069999999995
ZIC,16.666666666666668,5563.203999999999
ZIC,17.647058823529413,371.77
ZIC,18.181818181818183,3734.2650000000003
ZIC,18.75,871.547
ZIC,20.0,6573.197
ZIC,21.05263157894737,75.65
ZIC,21.428571428571427,2032.7830000000001
ZIC,22.22222222222222,3846.22
ZIC,23.076923076923077,2378.455
ZIC,23.529411764705884,773.6759999999999
ZIC,25.0,8533.573999999999
ZIC,26.31578947368421,420.504
ZIC,26.666666666666668,1705.3519999999999
ZIC,27.272727272727273,3268.062
ZIC,27.77777777777778,832.608
ZIC,28.571428571428573,5043.823000000001
ZIC,29.41176470588235,1478.6350000000002
ZIC,30.0,3751.6490000000003
ZIC,30.76923076923077,2959.167
ZIC,31.25,1658.1299999999997
ZIC,33.333333333333336,11329.465000000002
ZIC,35.714285714285715,2468.9249999999997
ZIC,36.36363636363637,3607.6000000000004
ZIC,37.5,2649.0360000000005
ZIC,38.46153846153846,3400.2469999999994
ZIC,40.0,3643.9239999999995
ZIC,41.666666666666664,3019.9259999999995
ZIC,42.857142857142854,1853.596
ZIC,44.44444444444444,2406.191
ZIC,45.45454545454545,3251.5629999999987
ZIC,50.0,6237.533999999999
ZIC,55.55555555555556,1555.6410000000003
ZIC,57.142857142857146,1015.579
ZIC,60.0,440.16700000000003
ZIC,62.5,853.2679999999999
ZIC,66.66666666666667,745.4859999999999
ZIC,71.42857142857143,505.235
ZIC,75.0,206.58200000000002
